1,2,3,4,5,count
AC,4D,AC,10C,JC,6
AC,4D,AC,10C,QC,6
AC,4D,AC,10C,KC,6
AC,4D,AC,JC,QC,6
AC,4D,AC,JC,KC,6
AC,4D,AC,QC,KC,6
AC,5D,2D,3D,4D,12
AC,5D,2D,3D,5D,6
AC,5D,2D,3D,6D,12
AC,5D,2D,3D,7D,12
AC,5D,2D,3D,8D,12
AC,5D,2D,3D,9D,12
AC,5D,2D,3D,10D,12
AC,5D,2D,3D,JD,12
AC,5D,2D,3D,QD,12
AC,5D,2D,3D,KD,12
AC,5D,2D,4D,5D,6
AC,5D,2D,4D,6D,12
AC,5D,2D,4D,7D,12
AC,5D,2D,4D,8D,12
AC,5D,2D,4D,9D,12
AC,5D,2D,4D,10D,12
AC,5D,2D,4D,JD,12
AC,5D,2D,4D,QD,12
AC,5D,2D,4D,KD,12
AC,5D,2D,5D,6D,6
AC,5D,2D,5D,7D,6
AC,5D,2D,5D,8D,6
AC,5D,2D,5D,9D,6
AC,5D,2D,5D,10D,6
AC,5D,2D,5D,JD,6
AC,5D,2D,5D,QD,6
AC,5D,2D,5D,KD,6
AC,5D,2D,6D,7D,12
AC,5D,2D,6D,8D,12
AC,5D,2D,6D,9D,12
AC,5D,2D,6D,10D,12
AC,5D,2D,6D,JD,12
AC,5D,2D,6D,QD,12
AC,5D,2D,6D,KD,12
AC,5D,2D,7D,8D,12
AC,5D,2D,7D,9D,12
AC,5D,2D,7D,10D,12
AC,5D,2D,7D,JD,12
AC,5D,2D,7D,QD,12
AC,5D,2D,7D,KD,12
AC,5D,2D,8D,9D,12
AC,5D,2D,8D,10D,12
AC,5D,2D,8D,JD,12
AC,5D,2D,8D,QD,12
AC,5D,2D,8D,KD,12
AC,5D,2D,9D,10D,12
AC,5D,2D,9D,JD,12
AC,5D,2D,9D,QD,12
AC,5D,2D,9D,KD,12
AC,5D,2D,10D,JD,12
AC,5D,2D,10D,QD,12
AC,5D,2D,10D,KD,12
AC,5D,2D,JD,QD,12
AC,5D,2D,JD,KD,12
AC,5D,2D,QD,KD,12
AC,5D,3D,4D,5D,6
AC,5D,3D,4D,6D,12
AC,5D,3D,4D,7D,12
AC,5D,3D,4D,8D,12
AC,5D,3D,4D,9D,12
AC,5D,3D,4D,10D,12
AC,5D,3D,4D,JD,12
AC,5D,3D,4D,QD,12
AC,5D,3D,4D,KD,12
AC,5D,3D,5D,6D,6
AC,5D,3D,5D,7D,6
AC,5D,3D,5D,8D,6
AC,5D,3D,5D,9D,6
AC,5D,3D,5D,10D,6
AC,5D,3D,5D,JD,6
AC,5D,3D,5D,QD,6
AC,5D,3D,5D,KD,6
AC,5D,3D,6D,7D,12
AC,5D,3D,6D,8D,12
AC,5D,3D,6D,9D,12
AC,5D,3D,6D,10D,12
AC,5D,3D,6D,JD,12
AC,5D,3D,6D,QD,12
AC,5D,3D,6D,KD,12
AC,5D,3D,7D,8D,12
AC,5D,3D,7D,9D,12
AC,5D,3D,7D,10D,12
AC,5D,3D,7D,JD,12
AC,5D,3D,7D,QD,12
AC,5D,3D,7D,KD,12
AC,5D,3D,8D,9D,12
AC,5D,3D,8D,10D,12
AC,5D,3D,8D,JD,12
AC,5D,3D,8D,QD,12
AC,5D,3D,8D,KD,12
AC,5D,3D,9D,10D,12
AC,5D,3D,9D,JD,12
AC,5D,3D,9D,QD,12
AC,5D,3D,9D,KD,12
AC,5D,3D,10D,JD,12
AC,5D,3D,10D,QD,12
AC,5D,3D,10D,KD,12
AC,5D,3D,JD,QD,12
AC,5D,3D,JD,KD,12
AC,5D,3D,QD,KD,12
AC,5D,4D,5D,6D,6
AC,5D,4D,5D,7D,6
AC,5D,4D,5D,8D,6
AC,5D,4D,5D,9D,6
AC,5D,4D,5D,10D,6
AC,5D,4D,5D,JD,6
AC,5D,4D,5D,QD,6
AC,5D,4D,5D,KD,6
AC,5D,4D,6D,7D,12
AC,5D,4D,6D,8D,12
AC,5D,4D,6D,9D,12
AC,5D,4D,6D,10D,12
AC,5D,4D,6D,JD,12
AC,5D,4D,6D,QD,12
AC,5D,4D,6D,KD,12
AC,5D,4D,7D,8D,12
AC,5D,4D,7D,9D,12
AC,5D,4D,7D,10D,12
AC,5D,4D,7D,JD,12
AC,5D,4D,7D,QD,12
AC,5D,4D,7D,KD,12
AC,5D,4D,8D,9D,12
AC,5D,4D,8D,10D,12
AC,5D,4D,8D,JD,12
AC,5D,4D,8D,QD,12
AC,5D,4D,8D,KD,12
AC,5D,4D,9D,10D,12
AC,5D,4D,9D,JD,12
AC,5D,4D,9D,QD,12
AC,5D,4D,9D,KD,12
AC,5D,4D,10D,JD,12
AC,5D,4D,10D,QD,12
AC,5D,4D,10D,KD,12
AC,5D,4D,JD,QD,12
AC,5D,4D,JD,KD,12
AC,5D,4D,QD,KD,12
AC,5D,5D,6D,7D,6
AC,5D,5D,6D,8D,6
AC,5D,5D,6D,9D,6
AC,5D,5D,6D,10D,6
AC,5D,5D,6D,JD,6
AC,5D,5D,6D,QD,6
AC,5D,5D,6D,KD,6
AC,5D,5D,7D,8D,6
AC,5D,5D,7D,9D,6
AC,5D,5D,7D,10D,6
AC,5D,5D,7D,JD,6
AC,5D,5D,7D,QD,6
AC,5D,5D,7D,KD,6
AC,5D,5D,8D,9D,6
AC,5D,5D,8D,10D,6
AC,5D,5D,8D,JD,6
AC,5D,5D,8D,QD,6
AC,5D,5D,8D,KD,6
AC,5D,5D,9D,10D,6
AC,5D,5D,9D,JD,6
AC,5D,5D,9D,QD,6
AC,5D,5D,9D,KD,6
AC,5D,5D,10D,JD,6
AC,5D,5D,10D,QD,6
AC,5D,5D,10D,KD,6
AC,5D,5D,JD,QD,6
AC,5D,5D,JD,KD,6
AC,5D,5D,QD,KD,6
AC,5D,6D,7D,8D,12
AC,5D,6D,7D,9D,12
AC,5D,6D,7D,10D,12
AC,5D,6D,7D,JD,12
AC,5D,6D,7D,QD,12
AC,5D,6D,7D,KD,12
AC,5D,6D,8D,9D,12
AC,5D,6D,8D,10D,12
AC,5D,6D,8D,JD,12
AC,5D,6D,8D,QD,12
AC,5D,6D,8D,KD,12
AC,5D,6D,9D,10D,12
AC,5D,6D,9D,JD,12
AC,5D,6D,9D,QD,12
AC,5D,6D,9D,KD,12
AC,5D,6D,10D,JD,12
AC,5D,6D,10D,QD,12
AC,5D,6D,10D,KD,12
AC,5D,6D,JD,QD,12
AC,5D,6D,JD,KD,12
AC,5D,6D,QD,KD,12
AC,5D,7D,8D,9D,12
AC,5D,7D,8D,10D,12
AC,5D,7D,8D,JD,12
AC,5D,7D,8D,QD,12
AC,5D,7D,8D,KD,12
AC,5D,7D,9D,10D,12
AC,5D,7D,9D,JD,12
AC,5D,7D,9D,QD,12
AC,5D,7D,9D,KD,12
AC,5D,7D,10D,JD,12
AC,5D,7D,10D,QD,12
AC,5D,7D,10D,KD,12
AC,5D,7D,JD,QD,12
AC,5D,7D,JD,KD,12
AC,5D,7D,QD,KD,12
AC,5D,8D,9D,10D,12
AC,5D,8D,9D,JD,12
AC,5D,8D,9D,QD,12
AC,5D,8D,9D,KD,12
AC,5D,8D,10D,JD,12
AC,5D,8D,10D,QD,12
AC,5D,8D,10D,KD,12
AC,5D,8D,JD,QD,12
AC,5D,8D,JD,KD,12
AC,5D,8D,QD,KD,12
AC,5D,9D,10D,JD,12
AC,5D,9D,10D,QD,12
AC,5D,9D,10D,KD,12
AC,5D,9D,JD,QD,12
AC,5D,9D,JD,KD,12
AC,5D,9D,QD,KD,12
AC,5D,10D,JD,QD,12
AC,5D,10D,JD,KD,12
AC,5D,10D,QD,KD,12
AC,5D,JD,QD,KD,12
AC,5D,AC,2C,3C,6
AC,5D,AC,2C,4C,6
AC,5D,AC,2C,6C,6
AC,5D,AC,2C,7C,6
AC,5D,AC,2C,8C,6
AC,5D,AC,2C,9C,6
AC,5D,AC,2C,10C,6
AC,5D,AC,2C,JC,6
AC,5D,AC,2C,QC,6
AC,5D,AC,2C,KC,6
AC,5D,AC,3C,4C,6
AC,5D,AC,3C,6C,6
AC,5D,AC,3C,7C,6
AC,5D,AC,3C,8C,6
AC,5D,AC,3C,9C,6
AC,5D,AC,3C,10C,6
AC,5D,AC,3C,JC,6
AC,5D,AC,3C,QC,6
AC,5D,AC,3C,KC,6
AC,5D,AC,4C,6C,6
AC,5D,AC,4C,7C,6
AC,5D,AC,4C,8C,6
AC,5D,AC,4C,9C,6
AC,5D,AC,4C,10C,6
AC,5D,AC,4C,JC,6
AC,5D,AC,4C,QC,6
AC,5D,AC,4C,KC,6
AC,5D,AC,6C,7C,6
AC,5D,AC,6C,8C,6
AC,5D,AC,6C,9C,6
AC,5D,AC,6C,10C,6
AC,5D,AC,6C,JC,6
AC,5D,AC,6C,QC,6
AC,5D,AC,6C,KC,6
AC,5D,AC,7C,8C,6
AC,5D,AC,7C,9C,6
AC,5D,AC,7C,10C,6
AC,5D,AC,7C,JC,6
AC,5D,AC,7C,QC,6
AC,5D,AC,7C,KC,6
AC,5D,AC,8C,9C,6
AC,5D,AC,8C,10C,6
AC,5D,AC,8C,JC,6
AC,5D,AC,8C,QC,6
AC,5D,AC,8C,KC,6
AC,5D,AC,9C,10C,6
AC,5D,AC,9C,JC,6
AC,5D,AC,9C,QC,6
AC,5D,AC,9C,KC,6
AC,5D,AC,10C,JC,6
AC,5D,AC,10C,QC,6
AC,5D,AC,10C,KC,6
AC,5D,AC,JC,QC,6
AC,5D,AC,JC,KC,6
AC,5D,AC,QC,KC,6
AC,6D,2D,3D,4D,12
AC,6D,2D,3D,5D,12
AC,6D,2D,3D,6D,6
AC,6D,2D,3D,7D,12
AC,6D,2D,3D,8D,12
AC,6D,2D,3D,9D,12
AC,6D,2D,3D,10D,12
AC,6D,2D,3D,JD,12
AC,6D,2D,3D,QD,12
AC,6D,2D,3D,KD,12
AC,6D,2D,4D,5D,12
AC,6D,2D,4D,6D,6
AC,6D,2D,4D,7D,12
AC,6D,2D,4D,8D,12
AC,6D,2D,4D,9D,12
AC,6D,2D,4D,10D,12
AC,6D,2D,4D,JD,12
AC,6D,2D,4D,QD,12
AC,6D,2D,4D,KD,12
AC,6D,2D,5D,6D,6
AC,6D,2D,5D,7D,12
AC,6D,2D,5D,8D,12
AC,6D,2D,5D,9D,12
AC,6D,2D,5D,10D,12
AC,6D,2D,5D,JD,12
AC,6D,2D,5D,QD,12
AC,6D,2D,5D,KD,12
AC,6D,2D,6D,7D,6
AC,6D,2D,6D,8D,6
AC,6D,2D,6D,9D,6
AC,6D,2D,6D,10D,6
AC,6D,2D,6D,JD,6
AC,6D,2D,6D,QD,6
AC,6D,2D,6D,KD,6
AC,6D,2D,7D,8D,12
AC,6D,2D,7D,9D,12
AC,6D,2D,7D,10D,12
AC,6D,2D,7D,JD,12
AC,6D,2D,7D,QD,12
AC,6D,2D,7D,KD,12
AC,6D,2D,8D,9D,12
AC,6D,2D,8D,10D,12
AC,6D,2D,8D,JD,12
AC,6D,2D,8D,QD,12
AC,6D,2D,8D,KD,12
AC,6D,2D,9D,10D,12
AC,6D,2D,9D,JD,12
AC,6D,2D,9D,QD,12
AC,6D,2D,9D,KD,12
AC,6D,2D,10D,JD,12
AC,6D,2D,10D,QD,12
AC,6D,2D,10D,KD,12
AC,6D,2D,JD,QD,12
AC,6D,2D,JD,KD,12
AC,6D,2D,QD,KD,12
AC,6D,3D,4D,5D,12
AC,6D,3D,4D,6D,6
AC,6D,3D,4D,7D,12
AC,6D,3D,4D,8D,12
AC,6D,3D,4D,9D,12
AC,6D,3D,4D,10D,12
AC,6D,3D,4D,JD,12
AC,6D,3D,4D,QD,12
AC,6D,3D,4D,KD,12
AC,6D,3D,5D,6D,6
AC,6D,3D,5D,7D,12
AC,6D,3D,5D,8D,12
AC,6D,3D,5D,9D,12
AC,6D,3D,5D,10D,12
AC,6D,3D,5D,JD,12
AC,6D,3D,5D,QD,12
AC,6D,3D,5D,KD,12
AC,6D,3D,6D,7D,6
AC,6D,3D,6D,8D,6
AC,6D,3D,6D,9D,6
AC,6D,3D,6D,10D,6
AC,6D,3D,6D,JD,6
AC,6D,3D,6D,QD,6
AC,6D,3D,6D,KD,6
AC,6D,3D,7D,8D,12
AC,6D,3D,7D,9D,12
AC,6D,3D,7D,10D,12
AC,6D,3D,7D,JD,12
AC,6D,3D,7D,QD,12
AC,6D,3D,7D,KD,12
AC,6D,3D,8D,9D,12
AC,6D,3D,8D,10D,12
AC,6D,3D,8D,JD,12
AC,6D,3D,8D,QD,12
AC,6D,3D,8D,KD,12
AC,6D,3D,9D,10D,12
AC,6D,3D,9D,JD,12
AC,6D,3D,9D,QD,12
AC,6D,3D,9D,KD,12
AC,6D,3D,10D,JD,12
AC,6D,3D,10D,QD,12
AC,6D,3D,10D,KD,12
AC,6D,3D,JD,QD,12
AC,6D,3D,JD,KD,12
AC,6D,3D,QD,KD,12
AC,6D,4D,5D,6D,6
AC,6D,4D,5D,7D,12
AC,6D,4D,5D,8D,12
AC,6D,4D,5D,9D,12
AC,6D,4D,5D,10D,12
AC,6D,4D,5D,JD,12
AC,6D,4D,5D,QD,12
AC,6D,4D,5D,KD,12
AC,6D,4D,6D,7D,6
AC,6D,4D,6D,8D,6
AC,6D,4D,6D,9D,6
AC,6D,4D,6D,10D,6
AC,6D,4D,6D,JD,6
AC,6D,4D,6D,QD,6
AC,6D,4D,6D,KD,6
AC,6D,4D,7D,8D,12
AC,6D,4D,7D,9D,12
AC,6D,4D,7D,10D,12
AC,6D,4D,7D,JD,12
AC,6D,4D,7D,QD,12
AC,6D,4D,7D,KD,12
AC,6D,4D,8D,9D,12
AC,6D,4D,8D,10D,12
AC,6D,4D,8D,JD,12
AC,6D,4D,8D,QD,12
AC,6D,4D,8D,KD,12
AC,6D,4D,9D,10D,12
AC,6D,4D,9D,JD,12
AC,6D,4D,9D,QD,12
AC,6D,4D,9D,KD,12
AC,6D,4D,10D,JD,12
AC,6D,4D,10D,QD,12
AC,6D,4D,10D,KD,12
AC,6D,4D,JD,QD,12
AC,6D,4D,JD,KD,12
AC,6D,4D,QD,KD,12
AC,6D,5D,6D,7D,6
AC,6D,5D,6D,8D,6
AC,6D,5D,6D,9D,6
AC,6D,5D,6D,10D,6
AC,6D,5D,6D,JD,6
AC,6D,5D,6D,QD,6
AC,6D,5D,6D,KD,6
AC,6D,5D,7D,8D,12
AC,6D,5D,7D,9D,12
AC,6D,5D,7D,10D,12
AC,6D,5D,7D,JD,12
AC,6D,5D,7D,QD,12
AC,6D,5D,7D,KD,12
AC,6D,5D,8D,9D,12
AC,6D,5D,8D,10D,12
AC,6D,5D,8D,JD,12
AC,6D,5D,8D,QD,12
AC,6D,5D,8D,KD,12
AC,6D,5D,9D,10D,12
AC,6D,5D,9D,JD,12
AC,6D,5D,9D,QD,12
AC,6D,5D,9D,KD,12
AC,6D,5D,10D,JD,12
AC,6D,5D,10D,QD,12
AC,6D,5D,10D,KD,12
AC,6D,5D,JD,QD,12
AC,6D,5D,JD,KD,12
AC,6D,5D,QD,KD,12
AC,6D,6D,7D,8D,6
AC,6D,6D,7D,9D,6
AC,6D,6D,7D,10D,6
AC,6D,6D,7D,JD,6
AC,6D,6D,7D,QD,6
AC,6D,6D,7D,KD,6
AC,6D,6D,8D,9D,6
AC,6D,6D,8D,10D,6
AC,6D,6D,8D,JD,6
AC,6D,6D,8D,QD,6
AC,6D,6D,8D,KD,6
AC,6D,6D,9D,10D,6
AC,6D,6D,9D,JD,6
AC,6D,6D,9D,QD,6
AC,6D,6D,9D,KD,6
AC,6D,6D,10D,JD,6
AC,6D,6D,10D,QD,6
AC,6D,6D,10D,KD,6
AC,6D,6D,JD,QD,6
AC,6D,6D,JD,KD,6
AC,6D,6D,QD,KD,6
AC,6D,7D,8D,9D,12
AC,6D,7D,8D,10D,12
AC,6D,7D,8D,JD,12
AC,6D,7D,8D,QD,12
AC,6D,7D,8D,KD,12
AC,6D,7D,9D,10D,12
AC,6D,7D,9D,JD,12
AC,6D,7D,9D,QD,12
AC,6D,7D,9D,KD,12
AC,6D,7D,10D,JD,12
AC,6D,7D,10D,QD,12
AC,6D,7D,10D,KD,12
AC,6D,7D,JD,QD,12
AC,6D,7D,JD,KD,12
AC,6D,7D,QD,KD,12
AC,6D,8D,9D,10D,12
AC,6D,8D,9D,JD,12
AC,6D,8D,9D,QD,12
AC,6D,8D,9D,KD,12
AC,6D,8D,10D,JD,12
AC,6D,8D,10D,QD,12
AC,6D,8D,10D,KD,12
AC,6D,8D,JD,QD,12
AC,6D,8D,JD,KD,12
AC,6D,8D,QD,KD,12
AC,6D,9D,10D,JD,12
AC,6D,9D,10D,QD,12
AC,6D,9D,10D,KD,12
AC,6D,9D,JD,QD,12
AC,6D,9D,JD,KD,12
AC,6D,9D,QD,KD,12
AC,6D,10D,JD,QD,12
AC,6D,10D,JD,KD,12
AC,6D,10D,QD,KD,12
AC,6D,JD,QD,KD,12
AC,6D,AC,2C,3C,6
AC,6D,AC,2C,4C,6
AC,6D,AC,2C,5C,6
AC,6D,AC,2C,7C,6
AC,6D,AC,2C,8C,6
AC,6D,AC,2C,9C,6
AC,6D,AC,2C,10C,6
AC,6D,AC,2C,JC,6
AC,6D,AC,2C,QC,6
AC,6D,AC,2C,KC,6
AC,6D,AC,3C,4C,6
AC,6D,AC,3C,5C,6
AC,6D,AC,3C,7C,6
AC,6D,AC,3C,8C,6
AC,6D,AC,3C,9C,6
AC,6D,AC,3C,10C,6
AC,6D,AC,3C,JC,6
AC,6D,AC,3C,QC,6
AC,6D,AC,3C,KC,6
AC,6D,AC,4C,5C,6
AC,6D,AC,4C,7C,6
AC,6D,AC,4C,8C,6
AC,6D,AC,4C,9C,6
AC,6D,AC,4C,10C,6
AC,6D,AC,4C,JC,6
AC,6D,AC,4C,QC,6
AC,6D,AC,4C,KC,6
AC,6D,AC,5C,7C,6
AC,6D,AC,5C,8C,6
AC,6D,AC,5C,9C,6
AC,6D,AC,5C,10C,6
AC,6D,AC,5C,JC,6
AC,6D,AC,5C,QC,6
AC,6D,AC,5C,KC,6
AC,6D,AC,7C,8C,6
AC,6D,AC,7C,9C,6
AC,6D,AC,7C,10C,6
AC,6D,AC,7C,JC,6
AC,6D,AC,7C,QC,6
AC,6D,AC,7C,KC,6
AC,6D,AC,8C,9C,6
AC,6D,AC,8C,10C,6
AC,6D,AC,8C,JC,6
AC,6D,AC,8C,QC,6
AC,6D,AC,8C,KC,6
AC,6D,AC,9C,10C,6
AC,6D,AC,9C,JC,6
AC,6D,AC,9C,QC,6
AC,6D,AC,9C,KC,6
AC,6D,AC,10C,JC,6
AC,6D,AC,10C,QC,6
AC,6D,AC,10C,KC,6
AC,6D,AC,JC,QC,6
AC,6D,AC,JC,KC,6
AC,6D,AC,QC,KC,6
AC,7D,2D,3D,4D,12
AC,7D,2D,3D,5D,12
AC,7D,2D,3D,6D,12
AC,7D,2D,3D,7D,6
AC,7D,2D,3D,8D,12
AC,7D,2D,3D,9D,12
AC,7D,2D,3D,10D,12
AC,7D,2D,3D,JD,12
AC,7D,2D,3D,QD,12
AC,7D,2D,3D,KD,12
AC,7D,2D,4D,5D,12
AC,7D,2D,4D,6D,12
AC,7D,2D,4D,7D,6
AC,7D,2D,4D,8D,12
AC,7D,2D,4D,9D,12
AC,7D,2D,4D,10D,12
AC,7D,2D,4D,JD,12
AC,7D,2D,4D,QD,12
AC,7D,2D,4D,KD,12
AC,7D,2D,5D,6D,12
AC,7D,2D,5D,7D,6
AC,7D,2D,5D,8D,12
AC,7D,2D,5D,9D,12
AC,7D,2D,5D,10D,12
AC,7D,2D,5D,JD,12
AC,7D,2D,5D,QD,12
AC,7D,2D,5D,KD,12
AC,7D,2D,6D,7D,6
AC,7D,2D,6D,8D,12
AC,7D,2D,6D,9D,12
AC,7D,2D,6D,10D,12
AC,7D,2D,6D,JD,12
AC,7D,2D,6D,QD,12
AC,7D,2D,6D,KD,12
AC,7D,2D,7D,8D,6
AC,7D,2D,7D,9D,6
AC,7D,2D,7D,10D,6
AC,7D,2D,7D,JD,6
AC,7D,2D,7D,QD,6
AC,7D,2D,7D,KD,6
AC,7D,2D,8D,9D,12
AC,7D,2D,8D,10D,12
AC,7D,2D,8D,JD,12
AC,7D,2D,8D,QD,12
AC,7D,2D,8D,KD,12
AC,7D,2D,9D,10D,12
AC,7D,2D,9D,JD,12
AC,7D,2D,9D,QD,12
AC,7D,2D,9D,KD,12
AC,7D,2D,10D,JD,12
AC,7D,2D,10D,QD,12
AC,7D,2D,10D,KD,12
AC,7D,2D,JD,QD,12
AC,7D,2D,JD,KD,12
AC,7D,2D,QD,KD,12
AC,7D,3D,4D,5D,12
AC,7D,3D,4D,6D,12
AC,7D,3D,4D,7D,6
AC,7D,3D,4D,8D,12
AC,7D,3D,4D,9D,12
AC,7D,3D,4D,10D,12
AC,7D,3D,4D,JD,12
AC,7D,3D,4D,QD,12
AC,7D,3D,4D,KD,12
AC,7D,3D,5D,6D,12
AC,7D,3D,5D,7D,6
AC,7D,3D,5D,8D,12
AC,7D,3D,5D,9D,12
AC,7D,3D,5D,10D,12
AC,7D,3D,5D,JD,12
AC,7D,3D,5D,QD,12
AC,7D,3D,5D,KD,12
AC,7D,3D,6D,7D,6
AC,7D,3D,6D,8D,12
AC,7D,3D,6D,9D,12
AC,7D,3D,6D,10D,12
AC,7D,3D,6D,JD,12
AC,7D,3D,6D,QD,12
AC,7D,3D,6D,KD,12
AC,7D,3D,7D,8D,6
AC,7D,3D,7D,9D,6
AC,7D,3D,7D,10D,6
AC,7D,3D,7D,JD,6
AC,7D,3D,7D,QD,6
AC,7D,3D,7D,KD,6
AC,7D,3D,8D,9D,12
AC,7D,3D,8D,10D,12
AC,7D,3D,8D,JD,12
AC,7D,3D,8D,QD,12
AC,7D,3D,8D,KD,12
AC,7D,3D,9D,10D,12
AC,7D,3D,9D,JD,12
AC,7D,3D,9D,QD,12
AC,7D,3D,9D,KD,12
AC,7D,3D,10D,JD,12
AC,7D,3D,10D,QD,12
AC,7D,3D,10D,KD,12
AC,7D,3D,JD,QD,12
AC,7D,3D,JD,KD,12
AC,7D,3D,QD,KD,12
AC,7D,4D,5D,6D,12
AC,7D,4D,5D,7D,6
AC,7D,4D,5D,8D,12
AC,7D,4D,5D,9D,12
AC,7D,4D,5D,10D,12
AC,7D,4D,5D,JD,12
AC,7D,4D,5D,QD,12
AC,7D,4D,5D,KD,12
AC,7D,4D,6D,7D,6
AC,7D,4D,6D,8D,12
AC,7D,4D,6D,9D,12
AC,7D,4D,6D,10D,12
AC,7D,4D,6D,JD,12
AC,7D,4D,6D,QD,12
AC,7D,4D,6D,KD,12
AC,7D,4D,7D,8D,6
AC,7D,4D,7D,9D,6
AC,7D,4D,7D,10D,6
AC,7D,4D,7D,JD,6
AC,7D,4D,7D,QD,6
AC,7D,4D,7D,KD,6
AC,7D,4D,8D,9D,12
AC,7D,4D,8D,10D,12
AC,7D,4D,8D,JD,12
AC,7D,4D,8D,QD,12
AC,7D,4D,8D,KD,12
AC,7D,4D,9D,10D,12
AC,7D,4D,9D,JD,12
AC,7D,4D,9D,QD,12
AC,7D,4D,9D,KD,12
AC,7D,4D,10D,JD,12
AC,7D,4D,10D,QD,12
AC,7D,4D,10D,KD,12
AC,7D,4D,JD,QD,12
AC,7D,4D,JD,KD,12
AC,7D,4D,QD,KD,12
AC,7D,5D,6D,7D,6
AC,7D,5D,6D,8D,12
AC,7D,5D,6D,9D,12
AC,7D,5D,6D,10D,12
AC,7D,5D,6D,JD,12
AC,7D,5D,6D,QD,12
AC,7D,5D,6D,KD,12
AC,7D,5D,7D,8D,6
AC,7D,5D,7D,9D,6
AC,7D,5D,7D,10D,6
AC,7D,5D,7D,JD,6
AC,7D,5D,7D,QD,6
AC,7D,5D,7D,KD,6
AC,7D,5D,8D,9D,12
AC,7D,5D,8D,10D,12
AC,7D,5D,8D,JD,12
AC,7D,5D,8D,QD,12
AC,7D,5D,8D,KD,12
AC,7D,5D,9D,10D,12
AC,7D,5D,9D,JD,12
AC,7D,5D,9D,QD,12
AC,7D,5D,9D,KD,12
AC,7D,5D,10D,JD,12
AC,7D,5D,10D,QD,12
AC,7D,5D,10D,KD,12
AC,7D,5D,JD,QD,12
AC,7D,5D,JD,KD,12
AC,7D,5D,QD,KD,12
AC,7D,6D,7D,8D,6
AC,7D,6D,7D,9D,6
AC,7D,6D,7D,10D,6
AC,7D,6D,7D,JD,6
AC,7D,6D,7D,QD,6
AC,7D,6D,7D,KD,6
AC,7D,6D,8D,9D,12
AC,7D,6D,8D,10D,12
AC,7D,6D,8D,JD,12
AC,7D,6D,8D,QD,12
AC,7D,6D,8D,KD,12
AC,7D,6D,9D,10D,12
AC,7D,6D,9D,JD,12
AC,7D,6D,9D,QD,12
AC,7D,6D,9D,KD,12
AC,7D,6D,10D,JD,12
AC,7D,6D,10D,QD,12
AC,7D,6D,10D,KD,12
AC,7D,6D,JD,QD,12
AC,7D,6D,JD,KD,12
AC,7D,6D,QD,KD,12
AC,7D,7D,8D,9D,6
AC,7D,7D,8D,10D,6
AC,7D,7D,8D,JD,6
AC,7D,7D,8D,QD,6
AC,7D,7D,8D,KD,6
AC,7D,7D,9D,10D,6
AC,7D,7D,9D,JD,6
AC,7D,7D,9D,QD,6
AC,7D,7D,9D,KD,6
AC,7D,7D,10D,JD,6
AC,7D,7D,10D,QD,6
AC,7D,7D,10D,KD,6
AC,7D,7D,JD,QD,6
AC,7D,7D,JD,KD,6
AC,7D,7D,QD,KD,6
AC,7D,8D,9D,10D,12
AC,7D,8D,9D,JD,12
AC,7D,8D,9D,QD,12
AC,7D,8D,9D,KD,12
AC,7D,8D,10D,JD,12
AC,7D,8D,10D,QD,12
AC,7D,8D,10D,KD,12
AC,7D,8D,JD,QD,12
AC,7D,8D,JD,KD,12
AC,7D,8D,QD,KD,12
AC,7D,9D,10D,JD,12
AC,7D,9D,10D,QD,12
AC,7D,9D,10D,KD,12
AC,7D,9D,JD,QD,12
AC,7D,9D,JD,KD,12
AC,7D,9D,QD,KD,12
AC,7D,10D,JD,QD,12
AC,7D,10D,JD,KD,12
AC,7D,10D,QD,KD,12
AC,7D,JD,QD,KD,12
AC,7D,AC,2C,3C,6
AC,7D,AC,2C,4C,6
AC,7D,AC,2C,5C,6
AC,7D,AC,2C,6C,6
AC,7D,AC,2C,8C,6
AC,7D,AC,2C,9C,6
AC,7D,AC,2C,10C,6
AC,7D,AC,2C,JC,6
AC,7D,AC,2C,QC,6
AC,7D,AC,2C,KC,6
AC,7D,AC,3C,4C,6
AC,7D,AC,3C,5C,6
AC,7D,AC,3C,6C,6
AC,7D,AC,3C,8C,6
AC,7D,AC,3C,9C,6
AC,7D,AC,3C,10C,6
AC,7D,AC,3C,JC,6
AC,7D,AC,3C,QC,6
AC,7D,AC,3C,KC,6
AC,7D,AC,4C,5C,6
AC,7D,AC,4C,6C,6
AC,7D,AC,4C,8C,6
AC,7D,AC,4C,9C,6
AC,7D,AC,4C,10C,6
AC,7D,AC,4C,JC,6
AC,7D,AC,4C,QC,6
AC,7D,AC,4C,KC,6
AC,7D,AC,5C,6C,6
AC,7D,AC,5C,8C,6
AC,7D,AC,5C,9C,6
AC,7D,AC,5C,10C,6
AC,7D,AC,5C,JC,6
AC,7D,AC,5C,QC,6
AC,7D,AC,5C,KC,6
AC,7D,AC,6C,8C,6
AC,7D,AC,6C,9C,6
AC,7D,AC,6C,10C,6
AC,7D,AC,6C,JC,6
AC,7D,AC,6C,QC,6
AC,7D,AC,6C,KC,6
AC,7D,AC,8C,9C,6
AC,7D,AC,8C,10C,6
AC,7D,AC,8C,JC,6
AC,7D,AC,8C,QC,6
AC,7D,AC,8C,KC,6
AC,7D,AC,9C,10C,6
